UF|MUNICIPIO|ARMARIO|TIPO_REDE|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|LATITUDE_EQUIP1|LONGITUDE_EQUIP1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|LATITUDE_EQUIP2|LONGITUDE_EQUIP2|qtde_fibras
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069907282|ESSMJ-I01-SP56-SP57-SP58-SP59|1|CBL0000000071447851|BR-ESSMJI01F1ESSMJ-CEO01&FB-TR1FGPONESSMJ-CEO01|CFOA-SM-AS-80G-144|144|Dutos|5.280000000|BR-ESSMJ01-DGO1|EQP0000000111694840|-20.019588200|-40.747230800|ESSMJ-CEO01|EQP0000000071447641|-20.019579400|-40.747181200|4
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069907282|ESSMJ-I01-SP56-SP57-SP58-SP59|2|CBL0000000071447858|FB-TR1FGPONESSMJ-CEO22|CFOA PRECON 36F-36|36|Cordoalha;Dutos|274.830000000|ESSMJ-CEO01|EQP0000000071447641|-20.019579400|-40.747181200|ESSMJ-CEO22|EQP0000000071447543|-20.017121100|-40.747383900|4
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069907282|ESSMJ-I01-SP56-SP57-SP58-SP59|3|CBL0000000071447929|FB-TR1FGPONESSMJ-I01-SP56-SP57-SP58-SP59|DROP 12F 5MM-12|12|Cordoalha|493.660000000|ESSMJ-CEO22|EQP0000000071447543|-20.017121100|-40.747383900|ESSMJ-I01-SP56-SP57-SP58-SP59|EQP0000000069907282|-20.017685400|-40.751153300|4
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069924097|ESSMJ-I01-SP52-SP53-SP54-SP55|1|CBL0000000071447851|BR-ESSMJI01F1ESSMJ-CEO01&FB-TR1FGPONESSMJ-CEO01|CFOA-SM-AS-80G-144|144|Dutos|5.280000000|BR-ESSMJ01-DGO1|EQP0000000111694840|-20.019588200|-40.747230800|ESSMJ-CEO01|EQP0000000071447641|-20.019579400|-40.747181200|4
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069924097|ESSMJ-I01-SP52-SP53-SP54-SP55|2|CBL0000000071447858|FB-TR1FGPONESSMJ-CEO22|CFOA PRECON 36F-36|36|Cordoalha;Dutos|274.830000000|ESSMJ-CEO01|EQP0000000071447641|-20.019579400|-40.747181200|ESSMJ-CEO22|EQP0000000071447543|-20.017121100|-40.747383900|4
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069924097|ESSMJ-I01-SP52-SP53-SP54-SP55|3|CBL0000000071447929|FB-TR1FGPONESSMJ-I01-SP56-SP57-SP58-SP59|DROP 12F 5MM-12|12|Cordoalha|493.660000000|ESSMJ-CEO22|EQP0000000071447543|-20.017121100|-40.747383900|ESSMJ-I01-SP56-SP57-SP58-SP59|EQP0000000069907282|-20.017685400|-40.751153300|4
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069924097|ESSMJ-I01-SP52-SP53-SP54-SP55|4|CBL0000000071448241|FB-TR1FGPONESSMJ-I01-SP52-SP53-SP54-SP55|DROP 12F 5MM-12|12|Cordoalha|737.160000000|ESSMJ-I01-SP56-SP57-SP58-SP59|EQP0000000069907282|-20.017685400|-40.751153300|ESSMJ-I01-SP52-SP53-SP54-SP55|EQP0000000069924097|-20.018552700|-40.757981400|4
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069947197|ESSMJ-I01-SP49-SP50-SP51|1|CBL0000000071447851|BR-ESSMJI01F1ESSMJ-CEO01&FB-TR1FGPONESSMJ-CEO01|CFOA-SM-AS-80G-144|144|Dutos|5.280000000|BR-ESSMJ01-DGO1|EQP0000000111694840|-20.019588200|-40.747230800|ESSMJ-CEO01|EQP0000000071447641|-20.019579400|-40.747181200|3
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069947197|ESSMJ-I01-SP49-SP50-SP51|2|CBL0000000071447858|FB-TR1FGPONESSMJ-CEO22|CFOA PRECON 36F-36|36|Cordoalha;Dutos|274.830000000|ESSMJ-CEO01|EQP0000000071447641|-20.019579400|-40.747181200|ESSMJ-CEO22|EQP0000000071447543|-20.017121100|-40.747383900|3
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069947197|ESSMJ-I01-SP49-SP50-SP51|3|CBL0000000071448427|FB-TR1FGPONESSMJ-I01-SP49-SP50-SP51|CFOA PRECON 36F-36|36|Cordoalha|349.280000000|ESSMJ-CEO22|EQP0000000071447543|-20.017121100|-40.747383900|ESSMJ-I01-SP49-SP50-SP51|EQP0000000069947197|-20.014642000|-40.745691300|3
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069965655|ESSMJ-I01-SP47-SP48|1|CBL0000000071447851|BR-ESSMJI01F1ESSMJ-CEO01&FB-TR1FGPONESSMJ-CEO01|CFOA-SM-AS-80G-144|144|Dutos|5.280000000|BR-ESSMJ01-DGO1|EQP0000000111694840|-20.019588200|-40.747230800|ESSMJ-CEO01|EQP0000000071447641|-20.019579400|-40.747181200|2
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069965655|ESSMJ-I01-SP47-SP48|2|CBL0000000071447858|FB-TR1FGPONESSMJ-CEO22|CFOA PRECON 36F-36|36|Cordoalha;Dutos|274.830000000|ESSMJ-CEO01|EQP0000000071447641|-20.019579400|-40.747181200|ESSMJ-CEO22|EQP0000000071447543|-20.017121100|-40.747383900|2
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069965655|ESSMJ-I01-SP47-SP48|3|CBL0000000071448427|FB-TR1FGPONESSMJ-I01-SP49-SP50-SP51|CFOA PRECON 36F-36|36|Cordoalha|349.280000000|ESSMJ-CEO22|EQP0000000071447543|-20.017121100|-40.747383900|ESSMJ-I01-SP49-SP50-SP51|EQP0000000069947197|-20.014642000|-40.745691300|2
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069965655|ESSMJ-I01-SP47-SP48|4|CBL0000000071448590|FB-TR1FGPONESSMJ-I01-SP47-SP48|CFOA PRECON 36F-36|36|Cordoalha|917.790000000|ESSMJ-I01-SP49-SP50-SP51|EQP0000000069947197|-20.014642000|-40.745691300|ESSMJ-I01-SP47-SP48|EQP0000000069965655|-20.007144000|-40.743195900|2
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069996922|ESSMJ-I01-SP45-SP46|1|CBL0000000071447851|BR-ESSMJI01F1ESSMJ-CEO01&FB-TR1FGPONESSMJ-CEO01|CFOA-SM-AS-80G-144|144|Dutos|5.280000000|BR-ESSMJ01-DGO1|EQP0000000111694840|-20.019588200|-40.747230800|ESSMJ-CEO01|EQP0000000071447641|-20.019579400|-40.747181200|2
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Primario|LOC0000000070407545|ESSMJ_G1I01|EQP0000000111694840|BR-ESSMJ01-DGO1|EQP0000000069996922|ESSMJ-I01-SP45-SP46|2|CBL0000000071447858|FB-TR1FGPONESSMJ-CEO22|CFOA PRECON 36F-36|36|Cordoalha;Dutos|274.830000000|ESSMJ-CEO01|EQP0000000071447641|-20.019579400|-40.747181200|ESSMJ-CEO22|EQP0000000071447543|-20.017121100|-40.747383900|2
